unfold0 file,unfold0 result,unfold0 duration,cvc5 filename,cvc5 result,cvc5 duration,unfold5 file,unfold5 result,unfold5 duration,no_interp file,no_interp result,no_interp duration,sqlsolver filename,sqlsolver result,sqlsolver duration,modified_sqlsolver file,modified_sqlsolver result,modified_sqlsolver duration,cvc5_nonneg file,cvc5_nonneg result,cvc5_nonneg duration
bapa/arith/fol_0000012.smt2,sat,0.11831092834472656,arith/cvc5_bapa/fol_0000012.smt2,sat,0.028521060943603516,bapa/arith/fol_0000012.smt2,sat,0.6051697731018066,bapa/arith/fol_0000012.smt2,sat,0.0909569263458252,arith/cvc5_bapa/fol_0000012.smt2,sat,0.104,arith/cvc5_bapa/fol_0000012.smt2,unknown,0.096,arith/cvc5_bapa/fol_0000012.smt2,sat,0.028970956802368164
bapa/arith/fol_0000013.smt2,sat,0.16249990463256836,arith/cvc5_bapa/fol_0000013.smt2,sat,0.03218483924865723,bapa/arith/fol_0000013.smt2,sat,0.20715880393981934,bapa/arith/fol_0000013.smt2,sat,0.09122467041015625,arith/cvc5_bapa/fol_0000013.smt2,sat,0.017,arith/cvc5_bapa/fol_0000013.smt2,sat,0.014,arith/cvc5_bapa/fol_0000013.smt2,sat,0.028663158416748047
bapa/arith/fol_0000014.smt2,sat,0.11994004249572754,arith/cvc5_bapa/fol_0000014.smt2,sat,0.029646873474121094,bapa/arith/fol_0000014.smt2,sat,0.3446989059448242,bapa/arith/fol_0000014.smt2,sat,0.09323000907897949,arith/cvc5_bapa/fol_0000014.smt2,sat,0.012,arith/cvc5_bapa/fol_0000014.smt2,sat,0.013,arith/cvc5_bapa/fol_0000014.smt2,sat,0.02803206443786621
bapa/arith/fol_0000015.smt2,sat,0.11660599708557129,arith/cvc5_bapa/fol_0000015.smt2,sat,0.030006885528564453,bapa/arith/fol_0000015.smt2,sat,0.15582680702209473,bapa/arith/fol_0000015.smt2,sat,0.09266519546508789,arith/cvc5_bapa/fol_0000015.smt2,sat,0.012,arith/cvc5_bapa/fol_0000015.smt2,sat,0.013,arith/cvc5_bapa/fol_0000015.smt2,sat,0.027838945388793945
bapa/arith/fol_0000016.smt2,sat,0.15755009651184082,arith/cvc5_bapa/fol_0000016.smt2,sat,0.03167104721069336,bapa/arith/fol_0000016.smt2,sat,0.15870904922485352,bapa/arith/fol_0000016.smt2,sat,0.09119820594787598,arith/cvc5_bapa/fol_0000016.smt2,sat,0.011,arith/cvc5_bapa/fol_0000016.smt2,sat,0.012,arith/cvc5_bapa/fol_0000016.smt2,sat,0.027912378311157227
bapa/arith/fol_0000017.smt2,sat,0.11821222305297852,arith/cvc5_bapa/fol_0000017.smt2,sat,0.02914714813232422,bapa/arith/fol_0000017.smt2,sat,0.3484621047973633,bapa/arith/fol_0000017.smt2,sat,0.12175107002258301,arith/cvc5_bapa/fol_0000017.smt2,sat,0.013,arith/cvc5_bapa/fol_0000017.smt2,sat,0.008,arith/cvc5_bapa/fol_0000017.smt2,sat,0.028972148895263672
bapa/arith/fol_0000018.smt2,sat,0.15326786041259766,arith/cvc5_bapa/fol_0000018.smt2,sat,0.02968287467956543,bapa/arith/fol_0000018.smt2,sat,0.5397109985351562,bapa/arith/fol_0000018.smt2,sat,0.09079408645629883,arith/cvc5_bapa/fol_0000018.smt2,sat,0.012,arith/cvc5_bapa/fol_0000018.smt2,sat,0.012,arith/cvc5_bapa/fol_0000018.smt2,sat,0.02924489974975586
bapa/arith/fol_0000019.smt2,sat,0.523367166519165,arith/cvc5_bapa/fol_0000019.smt2,sat,0.029680252075195312,bapa/arith/fol_0000019.smt2,sat,0.1764380931854248,bapa/arith/fol_0000019.smt2,sat,0.12125802040100098,arith/cvc5_bapa/fol_0000019.smt2,sat,0.097,arith/cvc5_bapa/fol_0000019.smt2,unknown,0.098,arith/cvc5_bapa/fol_0000019.smt2,sat,0.030695199966430664
bapa/arith/fol_0000020.smt2,sat,0.1619548797607422,arith/cvc5_bapa/fol_0000020.smt2,sat,0.0293729305267334,bapa/arith/fol_0000020.smt2,sat,0.6519029140472412,bapa/arith/fol_0000020.smt2,sat,0.12599587440490723,arith/cvc5_bapa/fol_0000020.smt2,sat,0.098,arith/cvc5_bapa/fol_0000020.smt2,unknown,0.095,arith/cvc5_bapa/fol_0000020.smt2,sat,0.029426097869873047
bapa/arith/fol_0000021.smt2,unsat,0.07984805107116699,arith/cvc5_bapa/fol_0000021.smt2,unsat,0.014085769653320312,bapa/arith/fol_0000021.smt2,unsat,0.09186387062072754,bapa/arith/fol_0000021.smt2,unsat,0.6415619850158691,arith/cvc5_bapa/fol_0000021.smt2,unsat,0.019,arith/cvc5_bapa/fol_0000021.smt2,unsat,0.017,arith/cvc5_bapa/fol_0000021.smt2,unsat,0.011334896087646484
bapa/arith/fol_0000022.smt2,sat,0.26877498626708984,arith/cvc5_bapa/fol_0000022.smt2,sat,0.028743267059326172,bapa/arith/fol_0000022.smt2,sat,0.16493010520935059,bapa/arith/fol_0000022.smt2,sat,0.09651517868041992,arith/cvc5_bapa/fol_0000022.smt2,sat,0.094,arith/cvc5_bapa/fol_0000022.smt2,unknown,0.093,arith/cvc5_bapa/fol_0000022.smt2,sat,0.028837203979492188
bapa/arith/fol_0000023.smt2,unsat,0.08056402206420898,arith/cvc5_bapa/fol_0000023.smt2,unsat,0.011401176452636719,bapa/arith/fol_0000023.smt2,unsat,0.09389519691467285,bapa/arith/fol_0000023.smt2,unsat,0.6841311454772949,arith/cvc5_bapa/fol_0000023.smt2,unsat,0.017,arith/cvc5_bapa/fol_0000023.smt2,unsat,0.016,arith/cvc5_bapa/fol_0000023.smt2,unsat,0.008202075958251953
bapa/arith/fol_0000024.smt2,sat,0.37378621101379395,arith/cvc5_bapa/fol_0000024.smt2,sat,0.031082868576049805,bapa/arith/fol_0000024.smt2,sat,0.17709684371948242,bapa/arith/fol_0000024.smt2,sat,0.10036706924438477,arith/cvc5_bapa/fol_0000024.smt2,sat,0.099,arith/cvc5_bapa/fol_0000024.smt2,unknown,0.095,arith/cvc5_bapa/fol_0000024.smt2,sat,0.030147075653076172
bapa/arith/fol_0000025.smt2,sat,0.11725425720214844,arith/cvc5_bapa/fol_0000025.smt2,sat,0.011761188507080078,bapa/arith/fol_0000025.smt2,sat,0.26839494705200195,bapa/arith/fol_0000025.smt2,sat,0.08885335922241211,arith/cvc5_bapa/fol_0000025.smt2,sat,0.016,arith/cvc5_bapa/fol_0000025.smt2,sat,0.013,arith/cvc5_bapa/fol_0000025.smt2,sat,0.011769294738769531
bapa/arith/fol_0000026.smt2,sat,0.159041166305542,arith/cvc5_bapa/fol_0000026.smt2,sat,0.009732246398925781,bapa/arith/fol_0000026.smt2,sat,0.34712719917297363,bapa/arith/fol_0000026.smt2,sat,0.09273028373718262,arith/cvc5_bapa/fol_0000026.smt2,sat,0.012,arith/cvc5_bapa/fol_0000026.smt2,sat,0.012,arith/cvc5_bapa/fol_0000026.smt2,sat,0.008797883987426758
bapa/arith/fol_0000027.smt2,sat,0.11852288246154785,arith/cvc5_bapa/fol_0000027.smt2,sat,0.01022791862487793,bapa/arith/fol_0000027.smt2,sat,0.2932307720184326,bapa/arith/fol_0000027.smt2,sat,0.09241986274719238,arith/cvc5_bapa/fol_0000027.smt2,sat,0.013,arith/cvc5_bapa/fol_0000027.smt2,sat,0.011,arith/cvc5_bapa/fol_0000027.smt2,sat,0.008994102478027344
bapa/arith/fol_0000028.smt2,unsat,0.14421510696411133,arith/cvc5_bapa/fol_0000028.smt2,unsat,0.05254983901977539,bapa/arith/fol_0000028.smt2,unsat,0.1246640682220459,bapa/arith/fol_0000028.smt2,unsat,1.876671314239502,arith/cvc5_bapa/fol_0000028.smt2,unsat,0.114,arith/cvc5_bapa/fol_0000028.smt2,unsat,0.111,arith/cvc5_bapa/fol_0000028.smt2,unsat,0.05376005172729492
bapa/arith/fol_0000029.smt2,sat,0.458538293838501,arith/cvc5_bapa/fol_0000029.smt2,sat,0.05727100372314453,bapa/arith/fol_0000029.smt2,sat,0.468080997467041,bapa/arith/fol_0000029.smt2,sat,0.6111249923706055,arith/cvc5_bapa/fol_0000029.smt2,sat,0.117,arith/cvc5_bapa/fol_0000029.smt2,unknown,0.111,arith/cvc5_bapa/fol_0000029.smt2,sat,0.052919864654541016
