unfold0 file,unfold0 result,unfold0 duration,cvc5 filename,cvc5 result,cvc5 duration,unfold5 file,unfold5 result,unfold5 duration,no_interp file,no_interp result,no_interp duration,sqlsolver filename,sqlsolver result,sqlsolver duration,modified_sqlsolver file,modified_sqlsolver result,modified_sqlsolver duration
bapa/arith/fol_0000001.smt2,sat,0.42969608306884766,arith/cvc5_bapa/fol_0000001.smt2,sat,0.013070106506347656,bapa/arith/fol_0000001.smt2,sat,1.0334482192993164,bapa/arith/fol_0000001.smt2,sat,0.11789798736572266,arith/cvc5_bapa/fol_0000001.smt2,sat,0.887,arith/cvc5_bapa/fol_0000001.smt2,sat,0.257
bapa/arith/fol_0000002.smt2,sat,0.11773300170898438,arith/cvc5_bapa/fol_0000002.smt2,sat,0.01013493537902832,bapa/arith/fol_0000002.smt2,sat,0.3500218391418457,bapa/arith/fol_0000002.smt2,sat,0.09072518348693848,arith/cvc5_bapa/fol_0000002.smt2,sat,0.017,arith/cvc5_bapa/fol_0000002.smt2,sat,0.01
bapa/arith/fol_0000003.smt2,sat,0.5990757942199707,arith/cvc5_bapa/fol_0000003.smt2,sat,0.010763883590698242,bapa/arith/fol_0000003.smt2,sat,0.14840984344482422,bapa/arith/fol_0000003.smt2,sat,0.3627488613128662,arith/cvc5_bapa/fol_0000003.smt2,sat,0.017,arith/cvc5_bapa/fol_0000003.smt2,sat,0.011
bapa/arith/fol_0000004.smt2,sat,0.1135549545288086,arith/cvc5_bapa/fol_0000004.smt2,sat,0.03829193115234375,bapa/arith/fol_0000004.smt2,sat,0.216583251953125,bapa/arith/fol_0000004.smt2,sat,0.09147500991821289,arith/cvc5_bapa/fol_0000004.smt2,sat,0.017,arith/cvc5_bapa/fol_0000004.smt2,sat,0.009
bapa/arith/fol_0000005.smt2,sat,0.1620020866394043,arith/cvc5_bapa/fol_0000005.smt2,sat,0.032073259353637695,bapa/arith/fol_0000005.smt2,sat,0.41442298889160156,bapa/arith/fol_0000005.smt2,sat,0.11851882934570312,arith/cvc5_bapa/fol_0000005.smt2,sat,0.015,arith/cvc5_bapa/fol_0000005.smt2,sat,0.009
bapa/arith/fol_0000006.smt2,sat,0.1162559986114502,arith/cvc5_bapa/fol_0000006.smt2,sat,0.03143906593322754,bapa/arith/fol_0000006.smt2,sat,0.1570909023284912,bapa/arith/fol_0000006.smt2,sat,0.27823591232299805,arith/cvc5_bapa/fol_0000006.smt2,sat,0.015,arith/cvc5_bapa/fol_0000006.smt2,sat,0.01
bapa/arith/fol_0000007.smt2,sat,0.19988179206848145,arith/cvc5_bapa/fol_0000007.smt2,sat,0.029588937759399414,bapa/arith/fol_0000007.smt2,sat,0.15215396881103516,bapa/arith/fol_0000007.smt2,sat,0.11951112747192383,arith/cvc5_bapa/fol_0000007.smt2,sat,0.186,arith/cvc5_bapa/fol_0000007.smt2,unknown,0.154
bapa/arith/fol_0000008.smt2,sat,0.15651512145996094,arith/cvc5_bapa/fol_0000008.smt2,sat,0.028947830200195312,bapa/arith/fol_0000008.smt2,sat,0.7052822113037109,bapa/arith/fol_0000008.smt2,sat,0.11924290657043457,arith/cvc5_bapa/fol_0000008.smt2,sat,0.016,arith/cvc5_bapa/fol_0000008.smt2,sat,0.014
bapa/arith/fol_0000009.smt2,sat,0.5837578773498535,arith/cvc5_bapa/fol_0000009.smt2,sat,0.02782583236694336,bapa/arith/fol_0000009.smt2,sat,0.5167901515960693,bapa/arith/fol_0000009.smt2,sat,0.11961197853088379,arith/cvc5_bapa/fol_0000009.smt2,sat,0.098,arith/cvc5_bapa/fol_0000009.smt2,unknown,0.098
bapa/arith/fol_0000010.smt2,sat,0.11367392539978027,arith/cvc5_bapa/fol_0000010.smt2,sat,0.02862715721130371,bapa/arith/fol_0000010.smt2,sat,0.27415990829467773,bapa/arith/fol_0000010.smt2,sat,0.11719083786010742,arith/cvc5_bapa/fol_0000010.smt2,sat,0.102,arith/cvc5_bapa/fol_0000010.smt2,unknown,0.098
